date,minute,encounter,behavior,behavior2,t_index,transition,pulse.flat,flatws,aws,dws,pulse.flat.seg,pulse.d,modws,pulse.a,uws,modws.seg,flatws.seg,pulse.mod,pulse.n,nws,c.13,nws.seq,modws.m,c.9,aws.seg,trill,rws,pulse.mod.seg,c.10,pulse.mod.bc,pulse.flat.seg.2,c.12
9/17/2021,18,3,Mill,mill1,-21,t1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/17/2021,19,3,Mill,mill1,-20,t1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/17/2021,20,3,Mill,mill1,-19,t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/17/2021,21,3,Mill,mill1,-18,t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/17/2021,22,3,Mill,mill1,-17,t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/17/2021,23,3,Mill,mill1,-16,t1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/17/2021,24,3,Mill,mill1,-15,t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/17/2021,25,3,Mill,mill1,-14,t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/17/2021,26,3,Mill,mill1,-13,t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/17/2021,27,3,Mill,mill1,-12,t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/17/2021,28,3,Mill,mill1,-11,t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/17/2021,29,3,Mill,mill1,-10,t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/17/2021,30,3,Mill,mill1,-9,t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/17/2021,31,3,Mill,mill1,-8,t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/17/2021,32,3,Mill,mill1,-7,t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/17/2021,33,3,Mill,mill1,-6,t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/17/2021,34,3,Mill,mill1,-5,t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/17/2021,35,3,Mill,mill1,-4,t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/17/2021,36,3,Mill,mill1,-3,t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/17/2021,37,3,Mill,mill1,-2,t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/17/2021,38,3,Mill,mill1,-1,t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/17/2021,39,3,Travel,travel1,0,t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/17/2021,40,3,Travel,travel1,1,t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/17/2021,41,3,Travel,travel1,2,t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/17/2021,42,3,Travel,travel1,3,t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/17/2021,43,3,Travel,travel1,4,t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/17/2021,44,3,Travel,travel1,5,t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/17/2021,45,3,Travel,travel1,6,t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/17/2021,46,3,Travel,travel1,7,t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/17/2021,47,3,Travel,travel1,8,t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/17/2021,48,3,Travel,travel1,9,t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/17/2021,1,4,Mill,mill2,-17,t2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/17/2021,2,4,Mill,mill2,-16,t2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/17/2021,3,4,Mill,mill2,-15,t2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/17/2021,4,4,Mill,mill2,-14,t2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/17/2021,5,4,Mill,mill2,-13,t2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/17/2021,6,4,Mill,mill2,-12,t2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/17/2021,7,4,Mill,mill2,-11,t2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/17/2021,8,4,Mill,mill2,-10,t2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/17/2021,9,4,Mill,mill2,-9,t2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/17/2021,10,4,Mill,mill2,-8,t2,0,1,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/17/2021,11,4,Mill,mill2,-7,t2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/17/2021,12,4,Mill,mill2,-6,t2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9/17/2021,13,4,Mill,mill2,-5,t2,1,0,2,6,3,2,1,1,10,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9/17/2021,14,4,Mill,mill2,-4,t2,5,2,9,3,1,3,3,1,2,1,0,1,3,1,0,4,0,0,0,0,3,0,0,1,0,0
9/17/2021,15,4,Mill,mill2,-3,t2,7,2,3,2,6,12,4,6,0,2,0,0,2,0,0,0,0,0,0,0,0,3,0,1,1,0
9/17/2021,16,4,Mill,mill2,-2,t2,4,4,12,2,8,5,2,5,0,4,1,2,0,1,0,0,0,4,0,0,0,0,3,0,1,0
9/17/2021,17,4,Mill,mill2,-1,t2,5,2,3,2,6,1,2,1,0,0,1,0,0,2,0,0,4,0,0,2,0,0,0,0,0,1
9/17/2021,18,4,Travel,travel2,0,t2,3,5,0,1,1,1,1,1,0,0,0,2,0,2,5,0,0,0,0,0,0,0,0,0,0,1
9/17/2021,19,4,Travel,travel2,1,t2,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/17/2021,20,4,Travel,travel2,2,t2,1,0,4,2,1,0,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9/17/2021,21,4,Travel,travel2,3,t2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/17/2021,22,4,Travel,travel2,4,t2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/17/2021,23,4,Travel,travel2,5,t2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/17/2021,24,4,Travel,travel2,6,t2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
